FIRE SIZE,DC,DMC,FFMC,ISI,BUI,FWI
0.1,126.78402,47.846134,83.445465,3.2770383,49.23816,9.31043
0.1,437.97012,59.853004,93.73698,13.982156,89.22298,37.250313
0.1,444.88715,80.15119,94.43103,13.086599,110.52274,39.32327
0.1,767.4157,261.58997,90.317375,6.774569,282.46738,30.781023
0.1,767.4157,261.58997,90.317375,6.774569,282.46738,30.781023
0.1,767.4157,261.58997,90.317375,6.774569,282.46738,30.781023
0.14,343.38458,39.77208,66.68918,0.82032275,61.683212,2.6566827
0.1,515.2974,108.493835,97.148315,16.40802,142.15974,49.702305
2.0,337.5883,67.53251,57.191025,0.5799582,90.03674,2.4172175
0.4,nan,nan,nan,nan,nan,nan
0.25,281.29056,20.54073,78.37726,1.9442585,34.739487,4.5398164
0.25,418.93594,52.41386,84.72256,4.8679504,79.85172,16.867558
1.05,737.23413,272.178,96.99503,25.439833,283.08087,71.09225
11.2,326.6034,201.09264,96.400925,13.115604,200.02707,46.263523
0.1,767.4157,261.58997,90.317375,6.774569,282.46738,30.781023
70.8,553.4404,91.151726,92.19075,7.064708,129.13292,27.74809
0.38,567.4868,142.79803,95.26192,19.27437,175.31117,57.671635
1.25,135.7819,51.46694,94.84928,13.183659,52.85157,27.726038
0.25,347.79572,53.37284,93.218185,11.033015,77.14785,29.62633
43.2,343.38458,39.77208,66.68918,0.82032275,61.683212,2.6566827
1.25,119.13157,39.026794,78.68351,1.8451968,42.910515,5.0042872
0.1,312.96347,134.36798,88.83703,5.9838476,134.26239,25.095106
0.1,119.13157,39.026794,78.68351,1.8451968,42.910515,5.0042872
0.1,119.13157,39.026794,78.68351,1.8451968,42.910515,5.0042872
4812.0,496.41412,102.530464,97.52618,17.899252,135.23276,51.69242
0.4,46.472687,24.680103,88.439545,5.9310923,24.534292,10.271088
0.1,27.467339,11.431163,89.27515,7.7374973,11.4123125,8.669881
0.1,34.161747,16.800383,87.430275,4.7663975,16.699492,6.8627305
0.1,nan,nan,nan,nan,nan,nan
0.1,444.88715,80.15119,94.43103,13.086599,110.52274,39.32327
0.1,337.34998,83.094345,91.23533,5.7931986,102.853065,21.892506
